gene_a,gene_b,guide_a,guide_b,m_ab,m_a0,m_0b,n_double,n_single_a,n_single_b,mu
KCNQ3,PTK2,1048178032,1049117542,-1.153262410539813,-0.2595164697465658,-0.4240078005540546,2,2,2,0.9494587503608551
KCNQ3,PTK2,1048179774,1049113811,-1.1400061092578095,0.30465150684931497,-0.4283758693381565,2,2,2,0.9494587503608551
ST3GAL1,KHDRBS3,1048331816,1048561957,-0.6138048790343982,0.06099867028772664,0.16115563701407185,2,2,2,0.9494587503608551
ST3GAL1,KHDRBS3,1048331802,1048562575,-0.27980578828675845,-0.08534644820048926,0.22798597763784617,2,2,2,0.9494587503608551
KLHL38,POU5F1B,1047305865,1047697268,-0.9909591808151035,-0.10010687008842134,0.09773287986994206,2,2,2,0.9494587503608551
KLHL38,POU5F1B,1047305875,1047697293,0.4736425177005524,0.1770489752444824,0.4281349497926744,2,2,2,0.9494587503608551
LRRC6,PHF20L1,1048230263,1048246195,0.3267807795514439,0.2489953748789704,0.641457944853006,2,2,2,0.9494587503608551
LRRC6,PHF20L1,1048232947,1048244445,0.4102430741965513,0.7712331892856132,1.017853337472785,2,2,2,0.9494587503608551
MAL2,OC90,1046871352,1048163484,-0.804841543701897,-0.3800477866487768,0.3417101108568465,2,2,2,0.9494587503608551
MAL2,OC90,1046872754,1048163491,-0.18787354739632342,0.4704999249714763,0.1512043714892645,2,2,2,0.9494587503608551
MED30,NSMCE2,1046712050,1047488806,-2.8645418231626643,-3.2436771287656287,0.2008457754212746,2,8,2,0.9494587503608551
MED30,NSMCE2,1046712047,1047469191,-2.854495925774123,-2.687768985865268,0.06556640111696291,2,8,2,0.9494587503608551
FAM91A1,NDUFB9,1047320367,1047400134,-0.7370275853104085,0.46525952222785294,-0.5787060476269199,2,2,2,0.9494587503608551
FAM91A1,NDUFB9,1047321232,1047400605,-0.8750518171737409,0.8166231613657592,-0.48643042370045164,2,2,2,0.9494587503608551
MRPL13,NDRG1,1046988818,1048301817,0.03250669571456216,0.7942993846830742,0.6929638057954777,2,2,2,0.9494587503608551
MRPL13,NDRG1,1046989301,1048302531,-0.26574259699908603,0.6770824030318852,0.3925731349540297,2,2,2,0.9494587503608551
FAM83A,SQLE,1047252909,1047454914,-0.4805751465164673,0.32152070147755785,-0.017674939991052088,2,2,2,0.9494587503608551
FAM83A,SQLE,1047251187,1047455288,-0.10257351065477877,0.330076670108073,0.39234206649576986,2,2,2,0.9494587503608551
ENPP2,TAF2,1046910339,1046922450,-1.367526824052246,0.2075314303147625,-0.7766773198871112,2,2,2,0.9494587503608551
ENPP2,TAF2,1046908566,1046926523,-1.534470969373666,-0.30461297847347374,-0.4811159393963464,2,2,2,0.9494587503608551
ADCY8,AGO2,1048064302,1049097396,0.370976089631864,0.4614041019935968,0.569799116057528,2,2,2,0.9494587503608551
ADCY8,AGO2,1048072710,1049098440,-0.5137090878506406,0.15889955353173715,-0.20201199673419454,2,2,2,0.9494587503608551
ANXA13,TRMT12,1047311830,1047390973,-0.1329911505312708,0.37241194945370687,-0.1370192003669336,2,2,2,0.9494587503608551
ANXA13,TRMT12,1047312289,1047391038,0.049663005837031565,0.4335082639139011,0.09678805062935693,2,2,2,0.9494587503608551
ZHX2,ASAP1,1047225472,1047978197,0.037605504561585845,0.28353604144312833,0.3428230591744341,2,2,2,0.9494587503608551
ZHX2,ASAP1,1047225439,1047984070,-0.3303100221316801,0.2728635052418791,0.345516599679337,2,2,2,0.9494587503608551
ZHX1,ATAD2,1047260532,1047270069,-0.1553165739871577,-0.21695768766700013,-0.6678624425110283,2,2,2,0.9494587503608551
ZHX1,ATAD2,1047260519,1047274616,-0.35489891779621174,0.25067569058594913,0.0318543150098659,2,2,2,0.9494587503608551
C8orf76,ZFAT,1047258821,1048459417,0.17052242788220065,-0.0296770841545578,1.1880220658398677,2,1,2,0.9494587503608551
C8orf76,ZFAT,1047258100,1048458841,0.3094092572699426,0.46758950557092044,0.9451745626099901,2,2,2,0.9494587503608551
WDYHV1,CHRAC1,1047279947,1049090676,-0.9869695837873663,-0.07796831244194649,-0.2285409513831419,2,2,2,0.9494587503608551
WDYHV1,CHRAC1,1047279944,1049090700,-0.0979426544592166,0.2722411096496833,-0.026521501938684952,2,2,2,0.9494587503608551
COL14A1,WASHC5,1046970364,1047461267,-0.43023134167416005,0.4051602782433378,0.457094787162139,2,2,2,0.9494587503608551
COL14A1,WASHC5,1046973414,1047462096,-0.11040502797574056,0.02393191355658004,0.03664522226029261,2,2,2,0.9494587503608551
UTP23,COL22A1,1046644161,1048881884,-1.84517847239854,-1.6410366079558276,0.7944496428956269,2,2,2,0.9494587503608551
UTP23,COL22A1,1046644180,1048881821,-1.012574465875942,-1.224382093436615,-0.04241947022212046,2,2,2,0.9494587503608551
COLEC10,TRIB1,1046858817,1047499554,-0.5359520418520696,0.36068136307389675,-0.3904647270647702,2,2,2,0.9494587503608551
COLEC10,TRIB1,1046858822,1047500060,-0.7202076762185852,0.4020484484170758,-0.9031802673201337,2,2,2,0.9494587503608551
TATDN1,DENND3,1047396460,1049172146,-0.6225520113758742,-0.24803418561307122,-0.3095151859004644,2,2,2,0.9494587503608551
TATDN1,DENND3,1047397556,1049171673,-0.5287737311607603,-0.19362367720201584,0.1556685128765623,2,2,2,0.9494587503608551
DEPTOR,TRAPPC9,1046948919,1049076117,-0.22845351720371423,0.3791614878369485,-0.030137546504728108,2,2,2,0.9494587503608551
DEPTOR,TRAPPC9,1046944909,1049082024,-0.8963657567076269,0.19704034213407018,-0.6094269486417072,2,2,2,0.9494587503608551
TNFRSF11B,DERL1,1046847354,1047235931,-0.8184990743998186,-0.13133849963016975,-0.2924718449875066,2,2,2,0.9494587503608551
TNFRSF11B,DERL1,1046847365,1047233872,-0.6319299637717906,0.1741562510045912,0.001957332116890871,2,2,2,0.9494587503608551
DSCC1,TMEM71,1046932194,1048242011,0.16532052577086215,0.5203523275890946,0.5800437865756725,2,2,2,0.9494587503608551
DSCC1,TMEM71,1046932498,1048241996,-1.0106475598239564,-0.26590632648706203,-0.13174092464853793,2,2,2,0.9494587503608551
TMEM65,EFR3A,1047381832,1048157193,-0.893939513553691,0.031524652977033496,-0.2864599723010204,2,2,2,0.9494587503608551
TMEM65,EFR3A,1047381823,1048157201,-1.6627921232973324,0.012069254148530245,-1.0513749476756906,2,2,2,0.9494587503608551
EIF3H,TG,1046634509,1048253663,-0.8810050786851881,-0.5366912156072224,0.1260369088665723,2,7,1,0.9494587503608551
EIF3H,TG,1046634505,1048256165,-0.6225603902110466,-0.18802550398560117,0.2860266723794449,2,8,2,0.9494587503608551
EXT1,TBC1D31,1046770208,1047241515,-0.5678538870698695,0.07377055486495544,0.6233279801990957,2,2,2,0.9494587503608551
EXT1,TBC1D31,1046770185,1047242206,-0.3937977166883391,-0.04604161308253136,0.3460116825348163,2,2,2,0.9494587503608551
MTBP,MYC,1046990361,1047732517,-2.1042476822143703,0.21997780374951859,-2.552391926749561,2,2,4,0.9494587503608551
MTBP,MYC,1046990818,1047732605,-2.394735790476086,-0.4954456334171624,-2.057422317172284,2,2,4,0.9494587503608551
MTSS1,MTSS1,1047403166,1047403624,-0.5846603658892162,-0.0480356049341335,-0.2494090206954333,2,2,2,0.9494587503608551
