gene_a,gene_b,guide_a,guide_b,m_a0,m_0b,m_ab,mu,delta,rho_star,n_double,n_single_a,n_single_b,noise,lower_0.05,upper_0.05,sign_0.05,lower_0.1,upper_0.1,sign_0.1,lower_0.2,upper_0.2,sign_0.2,lower_0.3,upper_0.3,sign_0.3
BRAF,EGFR,1024979188,1033390638,0.15701961413885807,-1.0373317379027966,-2.32717806425829,0.9494587503608551,-0.49740719013349644,0.1789730455343543,1,2,2,0.5118829510066232,-1.148251622364402,0.15343724209740917,UNRESOLVED,-1.2872131035886845,0.2923987233216916,UNRESOLVED,-1.5651360660372493,0.5703216857702564,UNRESOLVED,-1.8430590284858144,0.8482446482188215,UNRESOLVED
BRAF,EGFR,1024979662,1033379492,-0.05203753167511424,-0.4092464768578173,-0.7342013763743501,0.9494587503608551,0.6765413825194366,0.2866456020245027,1,2,2,0.5118829510066232,0.04664835605008133,1.306434408988792,POSITIVE,-0.07136171941265079,1.424444484451524,UNRESOLVED,-0.30738187033811504,1.6604646353769883,UNRESOLVED,-0.5434020212635791,1.8964847863024523,UNRESOLVED
BRAF,EGFR,1024979662,1033379562,-0.05203753167511424,-0.28152570775439645,-0.2009210998429936,0.9494587503608551,1.0821008899473723,0.48470782770295,1,2,2,0.5118829510066232,0.45859390193318805,1.7056078779615564,POSITIVE,0.346969864925627,1.8172319149691176,POSITIVE,0.12372179091050484,2.0404799889842398,POSITIVE,-0.09952628310461709,2.2637280629993617,UNRESOLVED
BRAF,EGFR,1024979662,1033379490,-0.05203753167511424,-0.1764766090431561,-0.5814722670418918,0.9494587503608551,0.5965006240372337,0.28038533056389264,1,2,2,0.5118829510066232,-0.02175390904138852,1.214755157115856,UNRESOLVED,-0.12812549111338756,1.321126739187855,UNRESOLVED,-0.34086865525738563,1.533869903331853,UNRESOLVED,-0.5536118194013837,1.746613067475851,UNRESOLVED
BRAF,EGFR,1024979662,1033390638,-0.05203753167511424,-1.0373317379027966,-1.57508898686514,0.9494587503608551,0.46373903307362596,0.15518558582887582,1,2,2,0.5118829510066232,-0.1975582564479783,1.1250363225952302,UNRESOLVED,-0.3469725949629594,1.2744506611102113,UNRESOLVED,-0.6458012719929216,1.5732793381401735,UNRESOLVED,-0.9446299490228833,1.8721080151701353,UNRESOLVED
BRAF,ERBB2,1033379492,1147332747,-0.4092464768578173,0.4224830642074471,-1.506159198151601,0.9494587503608551,-0.5699370351403756,0.30224468577834956,1,2,2,0.3842407986247814,-1.048461879433761,-0.0914121908469902,NEGATIVE,-1.142745925102365,0.002871854821613784,UNRESOLVED,-1.3313140164395731,0.19143994615882187,UNRESOLVED,-1.5198821077767812,0.38000803749602996,UNRESOLVED
BRAF,ERBB2,1033379562,1147332747,-0.28152570775439645,0.4224830642074471,-1.698584401677652,0.9494587503608551,-0.8900830077698474,0.5063158062324198,1,2,2,0.3842407986247814,-1.3622218136080617,-0.417944201931633,NEGATIVE,-1.4501198208214947,-0.33004619471820007,NEGATIVE,-1.6259158352483607,-0.15425018029133408,NEGATIVE,-1.8017118496752267,0.021545834135531905,UNRESOLVED
BRAF,ERBB2,1033379490,1147332747,-0.1764766090431561,0.4224830642074471,-0.7890410560524369,0.9494587503608551,-0.08558876085587275,0.051780621277782816,1,2,2,0.3842407986247814,-0.5524751117585252,0.3812975900467796,UNRESOLVED,-0.635120664036396,0.4639431423246505,UNRESOLVED,-0.8004117685921379,0.6292342468803924,UNRESOLVED,-0.9657028731478798,0.7945253514361343,UNRESOLVED
BRAF,ERBB2,1033390638,1147332747,-1.0373317379027966,0.4224830642074471,-1.770916749922167,0.9494587503608551,-0.20660932586596226,0.08219114727879365,1,2,2,0.3842407986247814,-0.7165384332115966,0.3033197814796721,UNRESOLVED,-0.8422267419324496,0.4290080902005251,UNRESOLVED,-1.0936033593741556,0.6803847076422311,UNRESOLVED,-1.3449799768158617,0.9317613250839372,UNRESOLVED
BRAF,ERBB2,1033379492,1147333124,-0.4092464768578173,0.1941199876238797,-0.5452201168822796,0.9494587503608551,0.6193651227125132,0.2929764591726908,1,2,2,0.3842407986247814,0.1294221245899494,1.109308120835077,POSITIVE,0.023719925092167027,1.2150103203328593,POSITIVE,-0.18768447390339782,1.4264147193284242,UNRESOLVED,-0.39908887289896255,1.637819118323989,UNRESOLVED
BRAF,ERBB2,1033379562,1147333124,-0.28152570775439645,0.1941199876238797,-0.6980700406050709,0.9494587503608551,0.33879442988630093,0.17056359525462428,1,2,2,0.3842407986247814,-0.14476252978109183,0.8223513895536937,UNRESOLVED,-0.24407869082370315,0.921667550596305,UNRESOLVED,-0.4427110129089259,1.1202998726815276,UNRESOLVED,-0.6413433349941485,1.3189321947667505,UNRESOLVED
BRAF,ERBB2,1033379490,1147333124,-0.1764766090431561,0.1941199876238797,-0.8132133124654978,0.9494587503608551,0.11860205931463375,0.0630434756523725,1,2,2,0.3842407986247814,-0.359702445417197,0.5969065640464645,UNRESOLVED,-0.4537661515242464,0.6909702701535139,UNRESOLVED,-0.6418935637383449,0.8790976823676124,UNRESOLVED,-0.8300209759524435,1.067225094581711,UNRESOLVED
