gene_a,gene_b,lower,upper,sign,n_guide_pairs,rho
HAS2,SAMD12,-0.3578353458452698,0.20543886673660067,UNRESOLVED,2,0.3
HHLA1,RNF139,-0.616950379549505,0.9095120396371881,UNRESOLVED,2,0.3
KCNK9,RAD21,-0.9576626994387981,0.7927984892439959,UNRESOLVED,2,0.3
KCNQ3,PTK2,-0.700164696705559,0.9451223380755753,UNRESOLVED,2,0.3
KHDRBS3,ST3GAL1,-0.30640778955070214,0.9230663528527678,UNRESOLVED,2,0.3
KLHL38,POU5F1B,-0.20552928621176803,1.1665875635769405,UNRESOLVED,2,0.3
LRRC6,PHF20L1,-0.5210392414648659,0.24888753960342813,UNRESOLVED,2,0.3
MAL2,OC90,-0.27521379314408334,0.5549756061516652,UNRESOLVED,2,0.3
MAP2K1,MAP2K2,0.17480782475130785,-0.5558830639104866,POSITIVE,16,0.3
MED30,NSMCE2,-0.6591414581033999,2.377866517402167,UNRESOLVED,2,0.3
MRPL13,NDRG1,-0.7172743895802465,-0.29332109922602273,NEGATIVE,2,0.3
MTBP,MYC,-0.14369070823238328,2.495042958129947,UNRESOLVED,2,0.3
MTSS1,MTSS1,0.0033343721958226658,1.3211516480065888,POSITIVE,1,0.3
PRMT1,PRMT5,0.16907704878376384,2.7388354359706804,POSITIVE,16,0.3
SIRPB1,TRPS1,-0.2822359247400488,0.1976505244099312,UNRESOLVED,2,0.3
